model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Bounded SRDiff [normalized K],2011,linear_b6_dz0.02_f0.75-c2.50|norm,715,0.18068,0.533728,0.72308
Bounded SRDiff [normalized K],2012,linear_b8_dz0.01_f0.75-c2.50|norm,732,0.177425,0.526536,0.74317
Bounded SRDiff [normalized K],2013,linear_b8_dz0.01_f0.75-c2.50|norm,737,0.16706,0.498318,0.73134
Bounded SRDiff [normalized K],2014,linear_b9_dz0.03_f0.75-c2.50|norm,760,0.186419,0.547434,0.71053
Bounded SRDiff [normalized K],2015,linear_b10_dz0.04_f0.75-c2.50|norm,765,0.17093,0.511753,0.75294
Bounded SRDiff [normalized K],2016,linear_b9_dz0.03_f0.75-c2.50|norm,760,0.191785,0.560988,0.71053
Bounded SRDiff [normalized K],2017,linear_b9_dz0.04_f0.70-c2.50|norm,776,0.194613,0.56784,0.6933
Bounded SRDiff [normalized K],2018,linear_b9_dz0.04_f0.75-c2.50|norm,772,0.178216,0.528336,0.72927
Bounded SRDiff [normalized K],2019,linear_b8_dz0.04_f0.60-c2.50|norm,774,0.177813,0.526471,0.73773
Bounded SRDiff [normalized K],2020,linear_b7_dz0.01_f0.75-c2.50|norm,534,0.194218,0.5733,0.70225
Bounded SRDiff [normalized K],2021,linear_b6_dz0.01_f0.75-c2.50|norm,770,0.188912,0.55435,0.6961
Bounded SRDiff [normalized K],2022,linear_b6_dz0.01_f0.70-c2.50|norm,776,0.20597,0.600139,0.66624
Bounded SRDiff [normalized K],2023,linear_b7_dz0.03_f0.60-c2.50|norm,792,0.188617,0.556492,0.71212
Bounded SRDiff [normalized K],2024,linear_b8_dz0.04_f0.75-c2.50|norm,798,0.204001,0.590491,0.67168
Bounded SRDiff [normalized K],2025,linear_b8_dz0.04_f0.75-c2.50|norm,808,0.186211,0.547424,0.71535
Bounded SRDiff [normalized K],2026,linear_b6_dz0.02_f0.75-c2.50|norm,157,0.159861,0.500601,0.78344
Bounded SRDiff [fixed K],2011,linear_b10_dz0.00_f0.75-c2.50|fixed,715,0.180444,0.534711,0.73427
Bounded SRDiff [fixed K],2012,linear_b10_dz0.00_f0.75-c2.50|fixed,732,0.181263,0.536165,0.72678
Bounded SRDiff [fixed K],2013,linear_b10_dz0.00_f0.75-c2.50|fixed,737,0.170508,0.510278,0.73541
Bounded SRDiff [fixed K],2014,linear_b10_dz0.00_f0.75-c2.50|fixed,760,0.185844,0.547251,0.72368
Bounded SRDiff [fixed K],2015,linear_b10_dz0.00_f0.75-c2.50|fixed,765,0.174446,0.522939,0.74902
Bounded SRDiff [fixed K],2016,linear_b10_dz0.00_f0.75-c2.50|fixed,760,0.193513,0.565161,0.70395
Bounded SRDiff [fixed K],2017,linear_b10_dz0.00_f0.75-c2.50|fixed,776,0.195485,0.570078,0.68686
Bounded SRDiff [fixed K],2018,linear_b10_dz0.00_f0.75-c2.50|fixed,772,0.180248,0.535698,0.72927
Bounded SRDiff [fixed K],2019,linear_b10_dz0.00_f0.75-c2.50|fixed,774,0.177735,0.528613,0.73385
Bounded SRDiff [fixed K],2020,linear_b10_dz0.00_f0.75-c2.50|fixed,534,0.194843,0.572644,0.6985
Bounded SRDiff [fixed K],2021,linear_b10_dz0.00_f0.75-c2.50|fixed,770,0.189174,0.555466,0.69481
