config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b4_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,4,0.02,,,,11426,0.189222,0.557445,0.7069
linear_b4_dz0.03|norm,Dead-zone SRDiff,normalized,68.44,linear,4,0.03,,,,11426,0.185966,0.547728,0.71399
linear_b4_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,4,0.03,,,,11426,0.189438,0.558044,0.70637
linear_b4_dz0.04|norm,Dead-zone SRDiff,normalized,69.382,linear,4,0.04,,,,11426,0.186045,0.547906,0.71399
linear_b4_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,4,0.04,,,,11426,0.189659,0.558655,0.70532
linear_b4_dz0.05|norm,Dead-zone SRDiff,normalized,70.331,linear,4,0.05,,,,11426,0.186142,0.548135,0.71355
linear_b4_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,4,0.05,,,,11426,0.18989,0.559292,0.70462
linear_b5_dz0.01|norm,Dead-zone SRDiff,normalized,63.261,linear,5,0.01,,,,11426,0.185732,0.547257,0.71346
linear_b5_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,5,0.01,,,,11426,0.188344,0.554927,0.70856
linear_b5_dz0.02|norm,Dead-zone SRDiff,normalized,64.311,linear,5,0.02,,,,11426,0.185728,0.547209,0.71329
linear_b5_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,5,0.02,,,,11426,0.188524,0.555454,0.70865
linear_b5_dz0.03|norm,Dead-zone SRDiff,normalized,65.373,linear,5,0.03,,,,11426,0.185752,0.547235,0.71442
linear_b5_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,5,0.03,,,,11426,0.188729,0.556036,0.70786
linear_b5_dz0.04|norm,Dead-zone SRDiff,normalized,66.451,linear,5,0.04,,,,11426,0.185792,0.547304,0.71407
linear_b5_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,5,0.04,,,,11426,0.188943,0.556645,0.70681
linear_b5_dz0.05|norm,Dead-zone SRDiff,normalized,67.544,linear,5,0.05,,,,11426,0.185855,0.547442,0.71355
linear_b5_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,5,0.05,,,,11426,0.189173,0.557295,0.70698
linear_b6_dz0.01|norm,Dead-zone SRDiff,normalized,60.219,linear,6,0.01,,,,11426,0.185771,0.54744,0.71434
linear_b6_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,6,0.01,,,,11426,0.187859,0.553478,0.7104
linear_b6_dz0.02|norm,Dead-zone SRDiff,normalized,61.377,linear,6,0.02,,,,11426,0.185709,0.547231,0.7139
linear_b6_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,6,0.02,,,,11426,0.188008,0.553928,0.70917
linear_b6_dz0.03|norm,Dead-zone SRDiff,normalized,62.552,linear,6,0.03,,,,11426,0.185681,0.547111,0.7139
linear_b6_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,6,0.03,,,,11426,0.188187,0.554456,0.70926
linear_b6_dz0.04|norm,Dead-zone SRDiff,normalized,63.749,linear,6,0.04,,,,11426,0.185675,0.547054,0.71355
linear_b6_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,6,0.04,,,,11426,0.188383,0.555028,0.70865
linear_b6_dz0.05|norm,Dead-zone SRDiff,normalized,64.963,linear,6,0.05,,,,11426,0.185699,0.547084,0.7125
linear_b6_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,6,0.05,,,,11426,0.1886,0.555658,0.70803
linear_b7_dz0.01|norm,Dead-zone SRDiff,normalized,57.402,linear,7,0.01,,,,11426,0.185897,0.547867,0.71477
linear_b7_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,7,0.01,,,,11426,0.187517,0.552422,0.7118
linear_b7_dz0.02|norm,Dead-zone SRDiff,normalized,58.658,linear,7,0.02,,,,11426,0.185792,0.547528,0.71407
linear_b7_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,7,0.02,,,,11426,0.187634,0.552789,0.71083
linear_b7_dz0.03|norm,Dead-zone SRDiff,normalized,59.934,linear,7,0.03,,,,11426,0.185721,0.547278,0.71469
linear_b7_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,7,0.03,,,,11426,0.187786,0.553246,0.71075
linear_b7_dz0.04|norm,Dead-zone SRDiff,normalized,61.231,linear,7,0.04,,,,11426,0.185668,0.547088,0.71399
linear_b7_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,7,0.04,,,,11426,0.187954,0.553752,0.70943
