model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Hybrid close [normalized K],2017,hyb_close_g5.0_tau14|normalized,776,0.191744,0.561061,0.69072
Hybrid close [normalized K],2018,hyb_close_g4.5_tau14|normalized,772,0.176813,0.524104,0.73446
Hybrid close [normalized K],2019,hyb_close_g5.0_tau14|normalized,774,0.175549,0.521662,0.72739
Hybrid close [normalized K],2020,hyb_close_g5.0_tau14|normalized,534,0.19303,0.570854,0.70974
Hybrid close [normalized K],2021,hyb_close_g5.0_tau14|normalized,770,0.188347,0.553847,0.70519
Hybrid close [normalized K],2022,hyb_close_g4.5_tau14|normalized,776,0.204426,0.595447,0.67912
Hybrid close [normalized K],2023,hyb_close_g4.5_tau14|normalized,792,0.186599,0.551746,0.70581
Hybrid close [normalized K],2024,hyb_close_g4.5_tau14|normalized,798,0.199605,0.580229,0.67168
Hybrid close [normalized K],2025,hyb_close_g4.5_tau14|normalized,808,0.184924,0.544931,0.71906
Hybrid close [normalized K],2026,hyb_close_g4.5_tau14|normalized,157,0.157733,0.494465,0.7707
Hybrid close [fixed K],2011,hyb_close_g4.5_tau14|fixed,715,0.179278,0.530726,0.73147
Hybrid close [fixed K],2012,hyb_close_g4.5_tau14|fixed,732,0.175313,0.521186,0.73361
Hybrid close [fixed K],2013,hyb_close_g4.0_tau14|fixed,737,0.165255,0.493851,0.75034
Hybrid close [fixed K],2014,hyb_close_g4.5_tau14|fixed,760,0.188901,0.553633,0.69474
Hybrid close [fixed K],2015,hyb_close_g4.5_tau14|fixed,765,0.171864,0.51211,0.75294
Hybrid close [fixed K],2016,hyb_close_g4.5_tau14|fixed,760,0.191877,0.560625,0.70395
Hybrid close [fixed K],2017,hyb_close_g5.0_tau14|fixed,776,0.192117,0.562172,0.69201
Hybrid close [fixed K],2018,hyb_close_g4.5_tau14|fixed,772,0.176914,0.523947,0.73446
Hybrid close [fixed K],2019,hyb_close_g4.5_tau14|fixed,774,0.175562,0.521468,0.72997
Hybrid close [fixed K],2020,hyb_close_g4.5_tau14|fixed,534,0.193015,0.571521,0.71348
Hybrid close [fixed K],2021,hyb_close_g4.5_tau14|fixed,770,0.188635,0.554675,0.7
Hybrid close [fixed K],2022,hyb_close_g4.0_tau14|fixed,776,0.204941,0.597052,0.67526
Hybrid close [fixed K],2023,hyb_close_g4.0_tau14|fixed,792,0.186544,0.551701,0.70328
Hybrid close [fixed K],2024,hyb_close_g4.0_tau14|fixed,798,0.199716,0.580714,0.67544
Hybrid close [fixed K],2025,hyb_close_g3.5_tau14|fixed,808,0.184907,0.544785,0.71658
Hybrid close [fixed K],2026,hyb_close_g4.0_tau14|fixed,157,0.157285,0.494015,0.7707
Any hybrid [normalized K],2011,hyb_exp_g3.5_dz0.04|normalized,715,0.180256,0.534084,0.72168
Any hybrid [normalized K],2012,hyb_exp_g2.5_dz0.00|normalized,732,0.174688,0.518913,0.7418
Any hybrid [normalized K],2013,hyb_exp_g2.25_dz0.00|normalized,737,0.164375,0.492019,0.7517
Any hybrid [normalized K],2014,hyb_exp_g2.75_dz0.02|normalized,760,0.185061,0.543513,0.71184
Any hybrid [normalized K],2015,hyb_exp_g3.25_dz0.02|normalized,765,0.170608,0.509831,0.74118
Any hybrid [normalized K],2016,hyb_exp_g3.0_dz0.02|normalized,760,0.191262,0.559385,0.70789
Any hybrid [normalized K],2017,hyb_exp_g2.75_dz0.00|normalized,776,0.190063,0.557163,0.69459
Any hybrid [normalized K],2018,hyb_exp_g2.75_dz0.00|normalized,772,0.175328,0.521099,0.73057
Any hybrid [normalized K],2019,hyb_exp_g2.75_dz0.00|normalized,774,0.175368,0.520675,0.73127
Any hybrid [normalized K],2020,hyb_exp_g2.75_dz0.00|normalized,534,0.191389,0.567398,0.70787
Any hybrid [normalized K],2021,hyb_exp_g2.5_dz0.00|normalized,770,0.188184,0.553977,0.7013
Any hybrid [normalized K],2022,hyb_exp_g2.5_dz0.00|normalized,776,0.203799,0.595213,0.67268
Any hybrid [normalized K],2023,hyb_exp_g2.5_dz0.00|normalized,792,0.185129,0.547764,0.71086
Any hybrid [normalized K],2024,hyb_exp_g2.5_dz0.00|normalized,798,0.199383,0.580568,0.67544
Any hybrid [normalized K],2025,hyb_exp_g2.25_dz0.00|normalized,808,0.183918,0.542418,0.71658
Any hybrid [normalized K],2026,hyb_exp_g2.25_dz0.00|normalized,157,0.15624,0.489226,0.78344
