season_year,game_id,week,team,opponent,garbage_time_excluded,off_plays,off_ppa,off_success_rate,off_explosiveness,def_plays,def_ppa,def_success_rate,def_explosiveness
2016,400869631,11,West Virginia,Texas,1,74,0.0622821167771202,0.4189189189189189,1.2963450606308582,102,0.120643019675523,0.49019607843137253,0.9397954824677908
2016,400869632,13,TCU,Texas,1,77,0.193690159913049,0.4675324675324675,1.0498555557978857,88,-0.17324083682212676,0.3181818181818182,0.8868572438694381
2016,400869632,13,Texas,TCU,1,88,-0.17324083682212676,0.3181818181818182,0.8868572438694381,77,0.193690159913049,0.4675324675324675,1.0498555557978857
2016,400869633,2,Howard,Rutgers,1,54,0.11437314696383938,0.2962962962962963,1.527579024523314,58,0.3218226789407219,0.5172413793103449,1.3025899061002018
2016,400869633,2,Rutgers,Howard,1,58,0.3218226789407219,0.5172413793103449,1.3025899061002018,54,0.11437314696383938,0.2962962962962963,1.527579024523314
2016,400869634,4,Iowa,Rutgers,1,59,-0.012008189874792375,0.3728813559322034,1.0338020597762638,76,-0.06186023166149963,0.34210526315789475,1.2176498908748503
2016,400869634,4,Rutgers,Iowa,1,76,-0.06186023166149963,0.34210526315789475,1.2176498908748503,59,-0.012008189874792375,0.3728813559322034,1.0338020597762638
2016,400869635,5,Ohio State,Rutgers,1,48,0.43965372192806745,0.5833333333333334,1.0930569618840265,33,-0.11379181415723574,0.2727272727272727,1.0905777646982482
2016,400869635,5,Rutgers,Ohio State,1,33,-0.11379181415723574,0.2727272727272727,1.0905777646982482,48,0.43965372192806745,0.5833333333333334,1.0930569618840265
2016,400869636,6,Michigan,Rutgers,1,38,0.35702129183110864,0.5,1.4723601893034857,27,-0.3106417978805012,0.07407407407407407,0.4937571830608283
2016,400869636,6,Rutgers,Michigan,1,27,-0.3106417978805012,0.07407407407407407,0.4937571830608283,38,0.35702129183110864,0.5,1.4723601893034857
2016,400869637,7,Illinois,Rutgers,1,58,-0.02413874243239944,0.3275862068965517,1.368845844335405,80,-0.2710486520455581,0.475,0.8054891799293226
2016,400869637,7,Rutgers,Illinois,1,80,-0.2710486520455581,0.475,0.8054891799293226,58,-0.02413874243239944,0.3275862068965517,1.368845844335405
2016,400869638,8,Minnesota,Rutgers,1,74,-0.0591602601293728,0.5135135135135135,0.7883082442268975,77,0.1421881282793308,0.4935064935064935,0.9143989468087221
2016,400869638,8,Rutgers,Minnesota,1,77,0.1421881282793308,0.4935064935064935,0.9143989468087221,74,-0.0591602601293728,0.5135135135135135,0.7883082442268975
2016,400869639,10,Indiana,Rutgers,1,87,-0.014489896155811087,0.367816091954023,1.651501481334936,75,-0.05891539487548118,0.32,1.066588596012063
2016,400869639,10,Rutgers,Indiana,1,75,-0.05891539487548118,0.32,1.066588596012063,87,-0.014489896155811087,0.367816091954023,1.651501481334936
2016,400869640,11,Michigan State,Rutgers,1,39,0.4553582925414116,0.6410256410256411,1.0518170010091792,28,-0.4614242566450192,0.25,0.7661370443769167
2016,400869640,11,Rutgers,Michigan State,1,28,-0.4614242566450192,0.25,0.7661370443769167,39,0.4553582925414116,0.6410256410256411,1.0518170010091792
2016,400869641,12,Penn State,Rutgers,1,66,0.09383765070443348,0.48484848484848486,0.7299902946857988,41,-0.20317464222379936,0.2682926829268293,0.6811572525960504
2016,400869641,12,Rutgers,Penn State,1,41,-0.20317464222379936,0.2682926829268293,0.6811572525960504,66,0.09383765070443348,0.48484848484848486,0.7299902946857988
2016,400869642,13,Maryland,Rutgers,1,62,0.2288888574126749,0.46774193548387094,1.3622091471131523,80,-0.10839914974126832,0.3875,1.1567879089164694
2016,400869642,13,Rutgers,Maryland,1,80,-0.10839914974126832,0.3875,1.1567879089164694,62,0.2288888574126749,0.46774193548387094,1.3622091471131523
2016,400869643,6,Indiana,Ohio State,1,69,-0.1097013325818678,0.3333333333333333,1.092977682510197,72,0.1697501576611112,0.4583333333333333,1.056043304330657
2016,400869643,6,Ohio State,Indiana,1,72,0.1697501576611112,0.4583333333333333,1.056043304330657,69,-0.1097013325818678,0.3333333333333333,1.092977682510197
2016,400869644,7,Ohio State,Wisconsin,1,76,0.1750430330313612,0.5,0.9176283270364324,77,0.10174093307317464,0.45454545454545453,1.0895197221108828
2016,400869644,7,Wisconsin,Ohio State,1,77,0.10174093307317464,0.45454545454545453,1.0895197221108828,76,0.1750430330313612,0.5,0.9176283270364324
2016,400869645,8,Ohio State,Penn State,1,86,-0.04627853940712825,0.3023255813953488,1.4048804409504436,60,-0.001360968891111741,0.31666666666666665,1.5773032215689127
2016,400869645,8,Penn State,Ohio State,1,60,-0.001360968891111741,0.31666666666666665,1.5773032215689127,86,-0.04627853940712825,0.3023255813953488,1.4048804409504436
2016,400869646,9,Northwestern,Ohio State,1,75,0.14620818385818,0.4,1.402176529482206,72,0.2471268547017943,0.4444444444444444,1.272474343693093
2016,400869646,9,Ohio State,Northwestern,1,72,0.2471268547017943,0.4444444444444444,1.272474343693093,75,0.14620818385818,0.4,1.402176529482206
2016,400869647,10,Nebraska,Ohio State,1,36,-0.3721821699200688,0.2777777777777778,1.0701798536320835,44,0.5269663414044282,0.5909090909090909,1.1895648679614823
2016,400869647,10,Ohio State,Nebraska,1,44,0.5269663414044282,0.5909090909090909,1.1895648679614823,36,-0.3721821699200688,0.2777777777777778,1.0701798536320835
