team_id,season_year,game_coe_total,bonus_total,season_coe2,games_counted,formula_version
19,1985,17.636496,0.0,17.636496,11,coe2_bonus_v1
10,1985,17.407164,0.0,17.407164,7,coe2_bonus_v1
1,1985,17.403251,0.0,17.403251,12,coe2_bonus_v1
33,1985,16.985894,0.0,16.985894,11,coe2_bonus_v1
7,1985,16.576479,0.0,16.576479,12,coe2_bonus_v1
32,1985,16.083013,0.0,16.083013,10,coe2_bonus_v1
129,1985,15.548791,0.0,15.548791,12,coe2_bonus_v1
23,1985,15.489603,0.0,15.489603,12,coe2_bonus_v1
77,1985,15.431592,0.0,15.431592,10,coe2_bonus_v1
74,1985,15.225511,0.0,15.225511,11,coe2_bonus_v1
109,1985,14.59211,0.0,14.59211,8,coe2_bonus_v1
3,1985,14.480161,0.0,14.480161,11,coe2_bonus_v1
88,1985,14.24339,0.0,14.24339,11,coe2_bonus_v1
84,1985,14.184994,0.0,14.184994,9,coe2_bonus_v1
42,1985,14.11735,0.0,14.11735,11,coe2_bonus_v1
91,1985,14.062656,0.0,14.062656,10,coe2_bonus_v1
92,1985,13.946082,0.0,13.946082,9,coe2_bonus_v1
73,1985,13.833225,0.0,13.833225,11,coe2_bonus_v1
76,1985,13.410433,0.0,13.410433,11,coe2_bonus_v1
68,1985,13.17257,0.0,13.17257,9,coe2_bonus_v1
5,1985,13.111762,0.0,13.111762,11,coe2_bonus_v1
82,1985,13.046289,0.0,13.046289,11,coe2_bonus_v1
79,1985,12.894129,0.0,12.894129,11,coe2_bonus_v1
95,1985,12.365177,0.0,12.365177,11,coe2_bonus_v1
11,1985,12.288997,0.0,12.288997,11,coe2_bonus_v1
12,1985,12.004317,0.0,12.004317,10,coe2_bonus_v1
72,1985,11.966855,0.0,11.966855,11,coe2_bonus_v1
86,1985,11.784926,0.0,11.784926,11,coe2_bonus_v1
6,1985,11.597294,0.0,11.597294,11,coe2_bonus_v1
134,1985,10.969929,0.0,10.969929,10,coe2_bonus_v1
96,1985,10.855678,0.0,10.855678,10,coe2_bonus_v1
40,1985,10.745613,0.0,10.745613,11,coe2_bonus_v1
93,1985,10.696707,0.0,10.696707,10,coe2_bonus_v1
110,1985,10.606297,0.0,10.606297,9,coe2_bonus_v1
75,1985,10.555138,0.0,10.555138,11,coe2_bonus_v1
29,1985,10.46558,0.0,10.46558,10,coe2_bonus_v1
132,1985,10.089288,0.0,10.089288,10,coe2_bonus_v1
135,1985,9.627932,0.0,9.627932,10,coe2_bonus_v1
55,1985,9.465367,0.0,9.465367,9,coe2_bonus_v1
81,1985,9.425142,0.0,9.425142,10,coe2_bonus_v1
85,1985,9.395456,0.0,9.395456,9,coe2_bonus_v1
26,1985,9.20127,0.0,9.20127,11,coe2_bonus_v1
80,1985,8.964375,0.0,8.964375,10,coe2_bonus_v1
39,1985,8.819833,0.0,8.819833,10,coe2_bonus_v1
2,1985,8.8164,0.0,8.8164,10,coe2_bonus_v1
131,1985,8.383489,0.0,8.383489,10,coe2_bonus_v1
106,1985,8.247361,0.0,8.247361,11,coe2_bonus_v1
114,1985,8.215214,0.0,8.215214,10,coe2_bonus_v1
128,1985,8.080503,0.0,8.080503,9,coe2_bonus_v1
108,1985,7.735377,0.0,7.735377,9,coe2_bonus_v1
4,1985,7.146021,0.0,7.146021,9,coe2_bonus_v1
41,1985,7.124891,0.0,7.124891,10,coe2_bonus_v1
115,1985,6.826763,0.0,6.826763,10,coe2_bonus_v1
50,1985,6.496155,0.0,6.496155,10,coe2_bonus_v1
20,1985,6.345582,0.0,6.345582,8,coe2_bonus_v1
49,1985,6.013739,0.0,6.013739,7,coe2_bonus_v1
34,1985,5.999092,0.0,5.999092,7,coe2_bonus_v1
24,1985,5.862461,0.0,5.862461,10,coe2_bonus_v1
38,1985,5.541609,0.0,5.541609,10,coe2_bonus_v1
14,1985,5.077961,0.0,5.077961,6,coe2_bonus_v1
9,1985,4.291976,0.0,4.291976,8,coe2_bonus_v1
