k,home_field,offseason_retention,brier_score
30,0,1.0,0.19101186266565856
20,100,0.7,0.1910331396578767
40,0,0.5,0.19112540558213897
25,0,1.0,0.19114164729375846
15,50,0.7,0.19125789907014434
35,0,1.0,0.19133264019110688
15,100,0.9,0.19142605804064558
35,0,0.5,0.1914517747106045
25,0,0.6,0.1917989462877799
20,50,0.5,0.19188655815943823
20,0,1.0,0.19191152680754248
40,0,1.0,0.191992681772714
20,0,0.7,0.1921286808404206
15,75,0.7,0.19214559194600617
15,0,0.9,0.19225213018385334
30,0,0.5,0.19235965374504915
15,100,1.0,0.19245995414180142
15,25,0.7,0.19246637693675972
25,100,0.5,0.1925720070716894
20,75,0.5,0.19273671005506976
15,100,0.8,0.19279944228605067
10,50,0.9,0.19283311067551692
20,100,0.6,0.1931483432470883
20,25,0.5,0.19325242023519
10,50,1.0,0.19352117637877467
15,0,0.8,0.19360512149858453
15,50,0.6,0.1936802374872611
15,0,1.0,0.1936869300161735
10,75,0.9,0.19371561504551504
10,25,0.9,0.19387645022174546
25,0,0.5,0.19406457035675106
10,75,1.0,0.19421011005192665
20,0,0.6,0.19431835618725787
10,25,1.0,0.194534814306865
15,75,0.6,0.1945910522912337
10,50,0.8,0.19488995294667502
15,100,0.7,0.19496406771348979
15,25,0.6,0.19497154381906961
20,100,0.5,0.19562601842473018
10,75,0.8,0.19582956473031776
15,0,0.7,0.19585023483184588
10,25,0.8,0.19603605834609084
10,100,0.9,0.19637395937015079
15,50,0.5,0.19641000780303108
10,100,1.0,0.19647205341031768
10,0,0.9,0.19691664389106198
20,0,0.5,0.1969177753279085
10,0,1.0,0.19730597558593566
15,75,0.5,0.19732368589381716
15,100,0.6,0.1975308570509327
10,50,0.7,0.19765331981531076
15,25,0.5,0.1977858831312421
15,0,0.6,0.19854915422349179
10,75,0.7,0.19860830486260422
10,100,0.8,0.19869310755177322
10,25,0.7,0.19890434004845875
10,0,0.8,0.19934736569954675
15,100,0.5,0.200347106977195
10,50,0.6,0.2006742557278203
15,0,0.5,0.20153963275387315
10,100,0.7,0.20159867864723524
10,75,0.6,0.2016201584592695
10,25,0.6,0.20202616571443907
10,0,0.7,0.20244682499543476
10,50,0.5,0.20379331320910488
10,100,0.6,0.2046859877378417
10,75,0.5,0.20471136692031866
10,25,0.5,0.20524289575052967
10,0,0.6,0.2057660432803239
10,100,0.5,0.2078130941204303
10,0,0.5,0.20915401493006108
