season_year,conference,coe2_5yr,window_start_year,window_end_year,seasons_counted,external_games,formula_version
1998,Big East,192.473442,1993,1997,5,175,coe2_bonus_v1
1998,ACC,176.110986,1993,1997,5,139,coe2_bonus_v1
1998,Big 8,133.824068,1993,1997,3,98,coe2_bonus_v1
1998,Big 12,119.672136,1993,1997,2,84,coe2_bonus_v1
1998,Southwest,98.400621,1993,1997,3,103,coe2_bonus_v1
1998,Conference USA,86.251562,1993,1997,2,72,coe2_bonus_v1
1998,Big West,76.602037,1993,1997,5,153,coe2_bonus_v1
1998,Mid-American,68.320362,1993,1997,5,119,coe2_bonus_v1
1999,SEC,323.414548,1994,1998,5,200,coe2_bonus_v1
1999,Big Ten,312.651517,1994,1998,5,204,coe2_bonus_v1
1999,FBS Independents,287.929332,1994,1998,5,324,coe2_bonus_v1
1999,Pac-10,243.965766,1994,1998,5,168,coe2_bonus_v1
1999,Western Athletic,224.818593,1994,1998,5,225,coe2_bonus_v1
1999,Big 12,191.341205,1994,1998,3,128,coe2_bonus_v1
1999,ACC,185.4665,1994,1998,5,138,coe2_bonus_v1
1999,Big East,184.739053,1994,1998,5,173,coe2_bonus_v1
1999,Conference USA,122.986005,1994,1998,3,113,coe2_bonus_v1
1999,Big 8,87.066991,1994,1998,2,65,coe2_bonus_v1
1999,Mid-American,84.310892,1994,1998,5,128,coe2_bonus_v1
1999,Big West,80.643627,1994,1998,5,147,coe2_bonus_v1
1999,Southwest,71.495634,1994,1998,2,71,coe2_bonus_v1
2000,Big Ten,324.435106,1995,1999,5,206,coe2_bonus_v1
2000,SEC,324.394053,1995,1999,5,204,coe2_bonus_v1
2000,FBS Independents,267.950911,1995,1999,5,304,coe2_bonus_v1
2000,Big 12,244.308502,1995,1999,4,171,coe2_bonus_v1
2000,Pac-10,238.711021,1995,1999,5,171,coe2_bonus_v1
2000,Western Athletic,204.150211,1995,1999,5,223,coe2_bonus_v1
2000,ACC,191.243667,1995,1999,5,140,coe2_bonus_v1
2000,Big East,178.114129,1995,1999,5,171,coe2_bonus_v1
2000,Conference USA,175.820716,1995,1999,4,158,coe2_bonus_v1
2000,Mid-American,91.035504,1995,1999,5,140,coe2_bonus_v1
2000,Big West,89.237926,1995,1999,5,144,coe2_bonus_v1
2000,Mountain West,47.496982,1995,1999,1,31,coe2_bonus_v1
2000,Big 8,44.082386,1995,1999,1,32,coe2_bonus_v1
2000,Southwest,33.497121,1995,1999,1,35,coe2_bonus_v1
2001,SEC,323.199345,1996,2000,5,207,coe2_bonus_v1
2001,Big Ten,308.498466,1996,2000,5,208,coe2_bonus_v1
2001,Big 12,295.674028,1996,2000,5,214,coe2_bonus_v1
2001,Pac-10,263.862288,1996,2000,5,177,coe2_bonus_v1
2001,FBS Independents,218.379745,1996,2000,5,279,coe2_bonus_v1
2001,Conference USA,213.216314,1996,2000,5,195,coe2_bonus_v1
2001,Big East,207.730371,1996,2000,5,171,coe2_bonus_v1
2001,ACC,201.684231,1996,2000,5,144,coe2_bonus_v1
2001,Western Athletic,195.567133,1996,2000,5,224,coe2_bonus_v1
2001,Mid-American,95.701381,1996,2000,5,151,coe2_bonus_v1
2001,Big West,91.266965,1996,2000,5,138,coe2_bonus_v1
2001,Mountain West,85.690245,1996,2000,2,66,coe2_bonus_v1
2002,SEC,327.631119,1997,2001,5,209,coe2_bonus_v1
2002,Big 12,303.477266,1997,2001,5,211,coe2_bonus_v1
2002,Big Ten,289.069377,1997,2001,5,204,coe2_bonus_v1
2002,Pac-10,269.762032,1997,2001,5,177,coe2_bonus_v1
2002,Big East,223.450478,1997,2001,5,172,coe2_bonus_v1
2002,ACC,214.135265,1997,2001,5,148,coe2_bonus_v1
2002,Conference USA,199.507837,1997,2001,5,200,coe2_bonus_v1
2002,FBS Independents,181.002931,1997,2001,5,262,coe2_bonus_v1
2002,Western Athletic,179.386111,1997,2001,5,210,coe2_bonus_v1
2002,Mountain West,125.434804,1997,2001,3,101,coe2_bonus_v1
2002,Mid-American,119.743334,1997,2001,5,161,coe2_bonus_v1
2002,Big West,73.265765,1997,2001,4,118,coe2_bonus_v1
2002,Sun Belt,8.465751,1997,2001,1,29,coe2_bonus_v1
2003,SEC,326.394608,1998,2002,5,217,coe2_bonus_v1
2003,Big 12,324.883246,1998,2002,5,220,coe2_bonus_v1
2003,Big Ten,314.58022,1998,2002,5,211,coe2_bonus_v1
2003,Pac-10,268.364825,1998,2002,5,183,coe2_bonus_v1
2003,Big East,257.727065,1998,2002,5,177,coe2_bonus_v1
2003,ACC,237.468352,1998,2002,5,163,coe2_bonus_v1
2003,FBS Independents,199.048629,1998,2002,5,254,coe2_bonus_v1
2003,Conference USA,193.881849,1998,2002,5,204,coe2_bonus_v1
2003,Western Athletic,166.732051,1998,2002,5,200,coe2_bonus_v1
2003,Mountain West,159.809541,1998,2002,4,144,coe2_bonus_v1
2003,Mid-American,125.818999,1998,2002,5,175,coe2_bonus_v1
2003,Big West,59.080251,1998,2002,3,91,coe2_bonus_v1
2003,Sun Belt,35.385825,1998,2002,2,67,coe2_bonus_v1
2004,SEC,333.868421,1999,2003,5,225,coe2_bonus_v1
2004,Big 12,326.414365,1999,2003,5,226,coe2_bonus_v1
2004,Big Ten,319.048679,1999,2003,5,220,coe2_bonus_v1
2004,Pac-10,278.668743,1999,2003,5,190,coe2_bonus_v1
2004,Big East,275.830734,1999,2003,5,188,coe2_bonus_v1
2004,ACC,250.681733,1999,2003,5,172,coe2_bonus_v1
2004,FBS Independents,217.312538,1999,2003,5,242,coe2_bonus_v1
2004,Conference USA,200.565607,1999,2003,5,207,coe2_bonus_v1
