end_year,window_start,window_end,team_name,coeff_5yr
2019,2015,2019,Temple,2.57752
2019,2015,2019,Western Michigan,2.543765
2019,2015,2019,Fresno State,2.382642
2019,2015,2019,Vanderbilt,2.368838
2019,2015,2019,Army,2.325868
2019,2015,2019,Hawai'i,2.253619
2019,2015,2019,Ohio,2.142477
2019,2015,2019,Northern Illinois,2.094736
2019,2015,2019,Oregon State,1.920453
2019,2015,2019,Maryland,1.918278
2019,2015,2019,Miami (OH),1.729665
2019,2015,2019,Louisiana Tech,1.720858
2019,2015,2019,Troy,1.710693
2019,2015,2019,Illinois,1.675943
2019,2015,2019,Eastern Michigan,1.675648
2019,2015,2019,Western Kentucky,1.645404
2019,2015,2019,Buffalo,1.567032
2019,2015,2019,Indiana,1.531491
2019,2015,2019,Central Michigan,1.477926
2019,2015,2019,Utah State,1.464235
2019,2015,2019,Wyoming,1.405794
2019,2015,2019,Marshall,1.325502
2019,2015,2019,SMU,1.313557
2019,2015,2019,Middle Tennessee,1.173488
2019,2015,2019,Tulsa,1.15536
2019,2015,2019,Nevada,1.155341
2019,2015,2019,Akron,1.061114
2019,2015,2019,Georgia Southern,1.060014
2019,2015,2019,New Mexico,1.03666
2019,2015,2019,Louisiana,1.033667
2019,2015,2019,Kent State,0.928747
2019,2015,2019,Southern Miss,0.908475
2019,2015,2019,UNLV,0.906838
2019,2015,2019,UAB,0.870894
2019,2015,2019,Bowling Green,0.858245
2019,2015,2019,Colorado State,0.850698
2019,2015,2019,North Texas,0.816168
2019,2015,2019,Ball State,0.80244
2019,2015,2019,Tulane,0.779281
2019,2015,2019,Kansas,0.775136
2019,2015,2019,South Alabama,0.752269
2019,2015,2019,Old Dominion,0.70259
2019,2015,2019,Arkansas State,0.697619
2019,2015,2019,East Carolina,0.621106
2019,2015,2019,Georgia State,0.620254
2019,2015,2019,Rutgers,0.579193
2019,2015,2019,UConn,0.546583
2019,2015,2019,San Jose State,0.436591
2019,2015,2019,Charlotte,0.428264
2019,2015,2019,UTSA,0.391441
2019,2015,2019,Liberty,0.390741
2019,2015,2019,New Mexico State,0.378002
2019,2015,2019,Coastal Carolina,0.231485
2019,2015,2019,Texas State,0.187453
2019,2015,2019,UTEP,0.186943
2019,2015,2019,Rice,0.155963
2020,2016,2020,Alabama,29.801392
2020,2016,2020,Clemson,21.954608
2020,2016,2020,Oklahoma,16.594298
2020,2016,2020,LSU,14.929883
2020,2016,2020,Ohio State,14.834215
2020,2016,2020,Georgia,14.746458
2020,2016,2020,Oklahoma State,12.156474
2020,2016,2020,Auburn,11.208695
2020,2016,2020,Texas,11.10583
2020,2016,2020,Iowa State,11.102662
2020,2016,2020,Notre Dame,10.928096
2020,2016,2020,Florida,10.242832
2020,2016,2020,Texas A&M,9.479117
2020,2016,2020,Northwestern,8.683207
2020,2016,2020,TCU,8.570372
2020,2016,2020,Wisconsin,8.214908
2020,2016,2020,Iowa,7.831295
2020,2016,2020,Kansas State,7.701924
2020,2016,2020,Penn State,7.5397
2020,2016,2020,Washington,7.468836
2020,2016,2020,Miami (FL),7.338741
2020,2016,2020,Oregon,7.306983
2020,2016,2020,West Virginia,6.815653
2020,2016,2020,USC,6.790906
2020,2016,2020,Stanford,6.630854
2020,2016,2020,Utah,6.542659
2020,2016,2020,Pittsburgh,6.458131
2020,2016,2020,Kentucky,6.451588
2020,2016,2020,Virginia Tech,6.186454
2020,2016,2020,Michigan,5.674898
2020,2016,2020,Washington State,5.535065
2020,2016,2020,NC State,5.412853
2020,2016,2020,Michigan State,5.045618
2020,2016,2020,Mississippi State,4.972402
2020,2016,2020,North Carolina,4.933232
2020,2016,2020,Florida State,4.782778
2020,2016,2020,Arizona State,4.734618
2020,2016,2020,Tennessee,4.720295
