season_year,team_name,rating
2004,Georgia,1.838052
2004,Texas A&M,1.804869
2004,Boise State,1.768432
2004,Ohio State,1.721538
2004,Michigan,1.699851
2004,Oregon State,1.654459
2004,Colorado,1.577834
2004,Wisconsin,1.517132
2004,Notre Dame,1.515224
2004,Virginia,1.49119
2004,LSU,1.446848
2004,Boston College,1.4356
2004,Georgia Tech,1.411794
2004,Oklahoma State,1.387677
2004,Fresno State,1.357574
2004,Purdue,1.355755
2004,Hawai'i,1.338748
2004,North Carolina,1.312899
2004,New Mexico,1.220685
2004,Clemson,1.219271
2004,Pittsburgh,1.179481
2004,Northwestern,1.165193
2004,UTEP,1.160531
2004,Syracuse,1.158421
2004,Navy,1.137774
2004,Florida,1.135573
2004,Southern Miss,1.132017
2004,UAB,1.113464
2004,Cincinnati,1.106431
2004,Minnesota,1.065975
2004,West Virginia,1.008689
2004,Iowa State,1.005476
2004,BYU,0.997503
2004,Wyoming,0.975355
2004,UCLA,0.950266
2004,UConn,0.949718
2004,Louisiana Tech,0.947681
2004,Memphis,0.943456
2004,NC State,0.943227
2004,Maryland,0.931597
2004,Washington State,0.915557
2004,Michigan State,0.897185
2004,TCU,0.866757
2004,Missouri,0.857507
2004,Nebraska,0.841355
2004,South Carolina,0.822954
2004,Alabama,0.822458
2004,Oregon,0.819881
2004,Arizona,0.806714
2004,Stanford,0.781438
2004,Arkansas,0.780699
2004,Kansas,0.778229
2004,Tulane,0.774638
2004,Bowling Green,0.769583
2004,Baylor,0.741631
2004,Toledo,0.707313
2004,Air Force,0.693003
2004,Wake Forest,0.684981
2004,Troy,0.66471
2004,Northern Illinois,0.66323
2004,North Texas,0.65918
2004,Rice,0.64017
2004,Ole Miss,0.634087
2004,Colorado State,0.630784
2004,Kansas State,0.620486
2004,South Florida,0.618632
2004,Mississippi State,0.61692
2004,Penn State,0.611269
2004,Houston,0.600167
2004,Tulsa,0.58131
2004,Indiana,0.576984
2004,Army,0.519072
2004,UNLV,0.515672
2004,Duke,0.513891
2004,Rutgers,0.513185
2004,Miami (OH),0.51169
2004,San Diego State,0.511116
2004,SMU,0.496145
2004,Kentucky,0.481705
2004,Nevada,0.477268
2004,New Mexico State,0.46722
2004,FAU,0.45692
2004,Marshall,0.456848
2004,East Carolina,0.45615
2004,Temple,0.43197
2004,Middle Tennessee,0.422395
2004,Washington,0.42131
2004,Illinois,0.405079
2004,ULM,0.404726
2004,Utah State,0.401241
2004,Arkansas State,0.397174
2004,Vanderbilt,0.367627
2004,Akron,0.358867
2004,Idaho,0.342792
2004,San Jose State,0.326577
2004,Ohio,0.251336
2004,Kent State,0.2508
2004,Louisiana,0.247574
2004,Eastern Michigan,0.235028
2004,Ball State,0.224947
2004,Central Michigan,0.213844
2004,Buffalo,0.184216
2004,Western Michigan,0.158379
2004,UCF,0.156251
2005,Texas,3.266828
2005,Virginia Tech,2.759034
2005,Penn State,2.60269
2005,LSU,2.376873
2005,Miami (FL),2.338457
2005,Ohio State,2.142032
2005,Boston College,2.104421
2005,Florida State,2.087394
2005,Clemson,2.082518
2005,TCU,2.081535
2005,USC,2.040564
2005,Oklahoma,2.003398
2005,Wisconsin,1.936983
2005,Georgia Tech,1.892979
2005,Florida,1.885803
2005,UCLA,1.876012
2005,Alabama,1.870199
2005,Georgia,1.86853
2005,West Virginia,1.781758
2005,Nebraska,1.768033
2005,Virginia,1.671372
2005,NC State,1.651508
2005,Texas Tech,1.588255
2005,Colorado,1.564985
2005,Michigan,1.554605
2005,Missouri,1.535469
2005,North Carolina,1.533142
2005,Auburn,1.47554
2005,Notre Dame,1.443758
2005,Utah,1.426311
2005,Kansas,1.418516
2005,Minnesota,1.366322
2005,Northwestern,1.35839
2005,Oregon,1.296734
2005,Maryland,1.282871
2005,Tulsa,1.273106
2005,South Carolina,1.266762
2005,Iowa State,1.237495
2005,Iowa,1.221865
2005,Wake Forest,1.134836
2005,Arizona State,1.112697
2005,Louisville,1.1122
2005,Colorado State,1.089527
2005,Tennessee,1.049469
2005,New Mexico,1.020697
2005,California,0.994597
2005,Navy,0.960796
2005,San Diego State,0.942511
2005,Memphis,0.939863
2005,Nevada,0.935725
2005,UCF,0.927963
2005,Kansas State,0.924742
2005,SMU,0.903462
2005,BYU,0.902966
2005,Texas A&M,0.876034
2005,UTEP,0.869288
2005,South Florida,0.864793
2005,Stanford,0.859145
2005,Baylor,0.852714
2005,Toledo,0.836452
2005,Southern Miss,0.810514
2005,Boise State,0.793037
2005,Michigan State,0.783818
2005,Purdue,0.780811
2005,Vanderbilt,0.753345
2005,Houston,0.748082
