Team-specific HFA validation report -- as of 2026-09-21
national FBS baseline H_FBS = 1.1278  (1.0000 would mean home teams win exactly as often as neutral Elo expects)
138 teams

== adjusted_hfa DESC ==
team                            raw  adjusted    N_eff  lambda  baseline  games
FAU                          1.1177    1.1212     56.9   0.655    1.1278    108
James Madison                1.1103    1.1210     18.9   0.387    1.1278     22
Wake Forest                  1.1171    1.1202     73.9   0.711    1.1278    232
Michigan State               1.1171    1.1200     83.5   0.736    1.1278    284
Central Michigan             1.1130    1.1178     62.3   0.675    1.1278    215
Sam Houston                  1.0805    1.1172      8.6   0.224    1.1278     10
Middle Tennessee             1.1104    1.1164     56.3   0.652    1.1278    125
Liberty                      1.1045    1.1159     31.4   0.511    1.1278     41
Auburn                       1.1096    1.1143     86.4   0.742    1.1278    293
Pittsburgh                   1.1084    1.1137     80.2   0.728    1.1278    274
Florida State                1.1073    1.1129     79.3   0.725    1.1278    268
Mississippi State            1.1055    1.1117     78.8   0.724    1.1278    255
Wisconsin                    1.1050    1.1110     84.8   0.739    1.1278    287
Rice                         1.1001    1.1084     70.1   0.700    1.1278    236
ULM                          1.0953    1.1071     52.8   0.638    1.1278    122
Louisville                   1.0981    1.1065     76.6   0.718    1.1278    240
Vanderbilt                   1.0954    1.1044     78.1   0.723    1.1278    261
Tulane                       1.0950    1.1043     75.8   0.717    1.1278    255
Air Force                    1.0929    1.1035     69.0   0.697    1.1278    244
Duke                         1.0927    1.1029     73.7   0.711    1.1278    243
Virginia Tech                1.0920    1.1021     76.1   0.717    1.1278    251
Georgia Tech                 1.0904    1.1014     72.6   0.708    1.1278    248
South Florida                1.0814    1.0973     57.8   0.658    1.1278    124
Boston College               1.0841    1.0964     76.2   0.717    1.1278    253
Sacramento State             0.0000    1.0914      1.0   0.032    1.1278      1
Troy                         1.0718    1.0913     56.3   0.652    1.1278    112
Arkansas                     1.0774    1.0910     80.7   0.729    1.1278    284
Western Michigan             1.0731    1.0910     61.6   0.673    1.1278    218
Illinois                     1.0762    1.0901     81.9   0.732    1.1278    273
FIU                          1.0621    1.0864     51.1   0.630    1.1278    102
East Carolina                1.0659    1.0846     69.3   0.698    1.1278    217
North Carolina               1.0646    1.0831     72.8   0.708    1.1278    255
Army                         1.0584    1.0811     61.8   0.673    1.1278    208
Ball State                   1.0514    1.0767     60.5   0.669    1.1278    204
TCU                          1.0524    1.0744     72.7   0.708    1.1278    247
New Mexico                   1.0479    1.0720     69.7   0.699    1.1278    240
UNLV                         1.0451    1.0703     68.5   0.695    1.1278    217
Western Kentucky             1.0218    1.0618     49.4   0.622    1.1278     89
Tulsa                        1.0257    1.0565     69.3   0.698    1.1278    214
Northern Illinois            1.0084    1.0477     61.3   0.672    1.1278    197
Maryland                     1.0133    1.0462     74.5   0.713    1.1278    248
UTEP                         1.0080    1.0456     65.5   0.686    1.1278    227
Purdue                       1.0118    1.0432     80.8   0.729    1.1278    274
Missouri State               0.5882    1.0417      5.7   0.160    1.1278      6
Eastern Michigan             1.0021    1.0416     65.5   0.686    1.1278    212
Texas State                  0.9743    1.0341     47.1   0.611    1.1278     74
Rutgers                      0.9977    1.0338     78.0   0.722    1.1278    245
Buffalo                      0.9756    1.0276     57.8   0.658    1.1278    132
Kent State                   0.9745    1.0276     56.6   0.654    1.1278    204
South Alabama                0.9584    1.0256     45.6   0.603    1.1278     73
New Mexico State             0.9708    1.0236     59.1   0.663    1.1278    185
Akron                        0.9632    1.0182     59.7   0.666    1.1278    171
Southern Miss                0.9344    0.9937     67.8   0.693    1.1278    211
Bowling Green                0.9186    0.9863     62.7   0.676    1.1278    212
Charlotte                    0.8187    0.9605     35.4   0.541    1.1278     52
Georgia State                0.7814    0.9255     42.1   0.584    1.1278     65
Massachusetts                0.5318    0.7921     38.7   0.563    1.1278     64

== adjusted_hfa ASC ==
team                            raw  adjusted    N_eff  lambda  baseline  games
Massachusetts                0.5318    0.7921     38.7   0.563    1.1278     64
Georgia State                0.7814    0.9255     42.1   0.584    1.1278     65
Charlotte                    0.8187    0.9605     35.4   0.541    1.1278     52
Bowling Green                0.9186    0.9863     62.7   0.676    1.1278    212
Southern Miss                0.9344    0.9937     67.8   0.693    1.1278    211
Akron                        0.9632    1.0182     59.7   0.666    1.1278    171
New Mexico State             0.9708    1.0236     59.1   0.663    1.1278    185
South Alabama                0.9584    1.0256     45.6   0.603    1.1278     73
Kent State                   0.9745    1.0276     56.6   0.654    1.1278    204
Buffalo                      0.9756    1.0276     57.8   0.658    1.1278    132
Rutgers                      0.9977    1.0338     78.0   0.722    1.1278    245
Texas State                  0.9743    1.0341     47.1   0.611    1.1278     74
Eastern Michigan             1.0021    1.0416     65.5   0.686    1.1278    212
Missouri State               0.5882    1.0417      5.7   0.160    1.1278      6
Purdue                       1.0118    1.0432     80.8   0.729    1.1278    274
UTEP                         1.0080    1.0456     65.5   0.686    1.1278    227
Maryland                     1.0133    1.0462     74.5   0.713    1.1278    248
Northern Illinois            1.0084    1.0477     61.3   0.672    1.1278    197
Tulsa                        1.0257    1.0565     69.3   0.698    1.1278    214
Western Kentucky             1.0218    1.0618     49.4   0.622    1.1278     89
UNLV                         1.0451    1.0703     68.5   0.695    1.1278    217
New Mexico                   1.0479    1.0720     69.7   0.699    1.1278    240
TCU                          1.0524    1.0744     72.7   0.708    1.1278    247
Ball State                   1.0514    1.0767     60.5   0.669    1.1278    204
Army                         1.0584    1.0811     61.8   0.673    1.1278    208
North Carolina               1.0646    1.0831     72.8   0.708    1.1278    255
East Carolina                1.0659    1.0846     69.3   0.698    1.1278    217
FIU                          1.0621    1.0864     51.1   0.630    1.1278    102
Illinois                     1.0762    1.0901     81.9   0.732    1.1278    273
Western Michigan             1.0731    1.0910     61.6   0.673    1.1278    218
